precinct_id,registered_voters,contest_name,total_votes_cast,Malcolm Kenyatta - Election Day,Malcolm Kenyatta - Absentee,Malcolm Kenyatta - Provisional,Tim DeFoor - Election Day,Tim DeFoor - Absentee,Tim DeFoor - Provisional,Reece Smith - Election Day,Reece Smith - Absentee,Reece Smith - Provisional,Bob Goodrich - Election Day,Bob Goodrich - Absentee,Bob Goodrich - Provisional,Eric K. Anton - Election Day,Eric K. Anton - Absentee,Eric K. Anton - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Ross Ward 5 Dist 2,435,Auditor General,373,104,63,1,138,32,1,6,1,0,6,1,0,1,0,0,1,0,0
Ross Ward 5 Dist 3,797,Auditor General,648,129,161,5,201,98,2,12,4,0,9,1,0,1,1,1,0,0,0
Ross Ward 5 Dist 4,754,Auditor General,639,166,116,0,238,75,2,15,3,0,5,0,0,1,0,0,0,0,0
Ross Ward 6 Dist 1,494,Auditor General,415,152,72,4,131,29,3,6,1,0,3,1,0,1,0,0,1,0,0
Ross Ward 6 Dist 2,1008,Auditor General,803,257,180,3,229,75,5,19,5,0,4,1,0,2,0,0,2,0,0
Ross Ward 6 Dist 3,693,Auditor General,564,218,87,1,167,53,0,17,2,0,1,1,0,0,0,0,0,0,0
Ross Ward 6 Dist 4,601,Auditor General,485,157,68,1,178,36,3,5,1,0,8,1,0,2,0,0,2,0,0
Ross Ward 7 Dist 1,599,Auditor General,520,132,103,2,189,55,1,8,4,0,7,0,0,3,0,0,0,0,0
Ross Ward 7 Dist 2,640,Auditor General,456,148,80,4,143,35,5,7,1,0,4,0,0,1,1,1,1,0,0
Ross Ward 7 Dist 3,750,Auditor General,636,175,122,2,214,66,3,10,0,0,4,2,0,4,3,0,0,0,0
Ross Ward 7 Dist 4,613,Auditor General,502,143,87,3,197,38,3,4,1,1,4,0,0,6,1,0,0,2,0
Ross Ward 8 Dist 1,1701,Auditor General,1351,342,316,13,384,192,7,22,2,0,4,0,0,9,2,1,2,0,0
Ross Ward 8 Dist 2,508,Auditor General,395,113,83,4,125,28,3,11,3,0,9,0,1,0,1,0,0,0,0
Ross Ward 8 Dist 3,600,Auditor General,522,138,102,4,182,50,5,8,0,0,1,1,0,2,1,0,2,0,0
Ross Ward 9 Dist 1,803,Auditor General,715,185,128,1,287,77,1,5,1,0,1,0,0,1,0,0,1,1,0
Ross Ward 9 Dist 2,975,Auditor General,825,220,165,4,276,95,3,20,4,1,8,0,0,1,0,1,0,1,0
Ross Ward 9 Dist 3,791,Auditor General,668,161,113,5,266,87,3,6,1,0,5,1,0,1,0,0,0,3,0
Rosslyn Farms,415,Auditor General,362,126,50,1,121,30,3,11,5,0,1,1,0,0,0,0,0,0,0
Scott Ward 1 Dist 1,587,Auditor General,420,125,61,6,166,19,2,11,0,0,6,0,0,2,0,0,2,0,0
Scott Ward 1 Dist 2,671,Auditor General,489,169,57,3,185,24,2,14,2,0,8,0,1,0,0,0,1,0,0
Scott Ward 2 Dist 1,447,Auditor General,347,102,88,4,100,34,2,3,3,0,1,0,0,0,0,0,0,0,0
Scott Ward 2 Dist 2,654,Auditor General,569,179,79,3,234,37,1,9,3,1,1,1,0,2,0,0,0,0,0
Scott Ward 3 Dist 1,543,Auditor General,476,130,94,1,174,38,2,7,0,0,4,1,0,1,1,0,0,0,0
Scott Ward 3 Dist 2,697,Auditor General,591,135,130,6,226,57,3,9,1,0,2,1,0,1,0,0,0,0,0
Scott Ward 4 Dist 1,753,Auditor General,650,209,123,2,202,51,3,9,5,0,8,3,0,1,2,0,1,0,0
Scott Ward 4 Dist 2,605,Auditor General,521,156,115,0,172,44,0,6,1,0,3,0,0,1,0,0,0,0,0
Scott Ward 5 Dist 1,611,Auditor General,515,155,79,5,196,31,2,9,1,0,3,0,0,3,0,0,1,0,0
Scott Ward 5 Dist 2,719,Auditor General,590,176,123,4,165,79,2,7,2,0,4,2,0,1,2,0,0,0,0
