precinct_id,registered_voters,contest_name,total_votes_cast,Malcolm Kenyatta - Election Day,Malcolm Kenyatta - Absentee,Malcolm Kenyatta - Provisional,Tim DeFoor - Election Day,Tim DeFoor - Absentee,Tim DeFoor - Provisional,Reece Smith - Election Day,Reece Smith - Absentee,Reece Smith - Provisional,Bob Goodrich - Election Day,Bob Goodrich - Absentee,Bob Goodrich - Provisional,Eric K. Anton - Election Day,Eric K. Anton - Absentee,Eric K. Anton - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Up St Clair Ward 2 Dist 4,545,Auditor General,464,138,82,2,171,46,2,4,1,0,1,0,0,0,1,0,0,0,0
Up St Clair Ward 3 Dist 1,1040,Auditor General,845,255,171,3,267,104,5,8,2,0,5,3,0,1,0,0,0,0,0
Up St Clair Ward 3 Dist 2,860,Auditor General,751,193,129,5,289,87,3,6,2,0,2,0,0,3,0,0,1,0,0
Up St Clair Ward 3 Dist 3,1432,Auditor General,1190,263,222,4,425,205,3,16,5,0,1,0,0,1,2,0,1,0,0
Up St Clair Ward 4 Dist 1,1024,Auditor General,870,236,162,2,318,109,1,8,1,0,3,0,0,2,0,0,0,2,0
Up St Clair Ward 4 Dist 2,594,Auditor General,484,126,88,6,182,52,6,5,1,0,1,0,0,0,0,0,0,0,0
Up St Clair Ward 4 Dist 3,649,Auditor General,549,149,118,2,194,59,1,7,0,0,0,1,0,0,0,0,0,1,0
Up St Clair Ward 4 Dist 4,1120,Auditor General,881,183,203,5,277,161,3,6,2,0,5,1,0,0,1,0,1,0,0
Up St Clair Ward 5 Dist 1,1149,Auditor General,957,231,177,2,380,113,5,6,3,1,4,0,0,1,1,0,0,0,0
Up St Clair Ward 5 Dist 2,1193,Auditor General,1032,253,199,2,400,114,2,18,0,0,3,2,0,1,2,0,1,0,0
Up St Clair Ward 5 Dist 3,921,Auditor General,793,218,167,5,265,86,3,12,5,0,1,2,0,0,0,0,3,0,0
Verona Dist 1,516,Auditor General,359,161,48,5,96,15,4,7,1,1,6,0,0,1,0,0,0,0,0
Verona Dist 2,571,Auditor General,450,179,61,2,141,23,1,6,2,0,3,1,0,1,0,0,0,0,0
Verona Dist 3,613,Auditor General,480,183,64,3,158,24,3,11,1,0,5,0,0,1,0,0,2,0,0
Versailles Dist 1,517,Auditor General,359,115,54,2,123,22,2,9,2,1,1,0,0,1,0,1,3,0,0
Versailles Dist 2,468,Auditor General,325,99,70,6,101,16,0,8,1,0,3,0,1,3,0,0,1,0,0
Wall,324,Auditor General,206,65,38,0,78,10,0,5,0,0,3,0,0,1,0,0,0,0,0
West Deer Dist 1,1669,Auditor General,1436,267,211,1,708,171,2,14,3,0,10,2,0,3,1,0,4,0,0
West Deer Dist 2,653,Auditor General,549,114,52,3,298,34,7,12,1,0,8,0,0,1,0,0,1,0,0
West Deer Dist 3,840,Auditor General,684,110,95,0,351,80,0,11,2,0,7,1,0,0,0,0,0,0,0
West Deer Dist 4,833,Auditor General,741,130,153,1,311,100,2,7,6,0,1,0,0,0,0,0,1,0,0
West Deer Dist 5,914,Auditor General,761,144,74,2,406,71,3,16,1,1,6,0,0,3,0,0,0,0,0
West Deer Dist 6,802,Auditor General,683,158,78,5,325,58,7,8,1,0,7,2,0,3,0,0,0,0,0
West Deer Dist 7,1846,Auditor General,1623,208,336,4,684,279,8,25,10,1,4,2,1,3,0,0,1,0,0
West Deer Dist 8,1589,Auditor General,1417,237,324,9,517,233,12,15,3,0,8,3,1,4,2,0,0,0,0
W Elizabeth,249,Auditor General,189,49,13,4,96,7,1,4,0,0,3,0,0,1,0,0,0,0,0
W Homestead Dist 1,424,Auditor General,247,126,44,12,32,6,2,4,1,0,5,2,0,0,0,0,0,0,0
W Homestead Dist 2,465,Auditor General,407,103,58,3,169,35,2,8,2,0,1,0,0,1,0,0,0,0,0
W Homestead Dist 3,523,Auditor General,448,115,65,0,183,56,0,4,2,0,2,1,0,0,2,0,0,0,0
West Mifflin Dist 1,699,Auditor General,561,166,103,1,204,34,1,14,2,0,6,1,0,3,0,0,1,1,0
West Mifflin Dist 2,478,Auditor General,357,172,81,5,55,21,0,4,0,0,1,0,0,1,1,0,0,0,0
West Mifflin Dist 3,481,Auditor General,380,131,66,0,119,21,5,11,0,0,10,0,0,3,0,0,1,0,0
West Mifflin Dist 4,396,Auditor General,105,70,17,1,7,1,0,2,1,0,2,0,0,0,0,0,0,0,0
West Mifflin Dist 5,829,Auditor General,707,226,92,3,257,61,0,13,2,0,6,1,0,1,0,0,1,0,0
West Mifflin Dist 6,336,Auditor General,270,64,51,1,100,18,3,8,0,0,8,0,0,1,0,0,0,0,0
West Mifflin Dist 7,752,Auditor General,595,187,83,4,237,34,4,9,3,0,6,1,0,3,0,0,0,0,0
West Mifflin Dist 8,579,Auditor General,418,211,73,8,78,19,1,3,1,0,5,0,0,1,0,0,1,0,0
West Mifflin Dist 9,786,Auditor General,620,207,131,1,173,52,2,15,3,0,8,1,0,3,0,0,2,1,1
West Mifflin Dist 10,520,Auditor General,418,116,75,4,154,33,2,10,1,0,6,1,0,1,1,0,0,1,0
West Mifflin Dist 11,788,Auditor General,607,157,100,6,243,41,2,16,0,1,13,3,0,2,0,0,0,0,0
West Mifflin Dist 12,1025,Auditor General,757,198,135,3,269,53,4,12,5,1,11,0,1,1,0,0,0,1,0
West Mifflin Dist 13,543,Auditor General,397,112,71,2,136,31,2,10,3,0,4,1,1,2,0,0,0,0,0
West Mifflin Dist 14,933,Auditor General,802,215,125,8,316,73,2,9,0,0,12,2,0,1,1,0,1,0,0
West Mifflin Dist 15,596,Auditor General,485,163,80,4,150,43,1,9,1,0,8,2,0,1,1,0,0,0,0
West Mifflin Dist 16,1160,Auditor General,1005,200,239,4,363,121,3,7,3,1,4,1,0,4,0,0,1,0,0
West Mifflin Dist 17,575,Auditor General,473,120,79,0,187,46,0,12,2,0,3,0,1,2,0,0,0,0,0
West Mifflin Dist 18,859,Auditor General,715,198,144,2,249,54,4,11,2,0,6,0,0,4,0,0,1,0,0
West Mifflin Dist 19,656,Auditor General,552,133,72,2,251,46,1,13,3,0,4,2,0,0,1,0,0,0,0
West Mifflin Dist 20,477,Auditor General,412,109,79,0,142,41,2,4,0,0,4,1,0,2,1,0,1,0,0
West Mifflin Dist 21,713,Auditor General,562,137,124,6,187,53,7,10,1,0,1,2,0,1,0,1,1,0,0
West View Dist 1,679,Auditor General,552,195,91,8,176,45,1,16,3,0,4,1,0,1,0,0,0,0,0
West View Dist 2,758,Auditor General,576,208,89,1,195,38,3,9,2,1,3,0,0,2,2,0,2,0,0
West View Dist 3,579,Auditor General,458,144,72,2,151,45,1,13,2,0,10,1,0,3,0,0,0,0,0
West View Dist 4,600,Auditor General,500,158,87,5,192,27,7,3,0,0,3,1,0,1,1,0,0,0,0
West View Dist 5,796,Auditor General,665,200,141,8,216,45,4,10,2,0,6,0,0,4,1,0,1,0,0
West View Dist 6,726,Auditor General,619,231,113,2,203,35,1,7,2,1,4,1,0,2,0,0,0,0,0
West View Dist 7,620,Auditor General,532,183,121,3,140,47,1,9,5,1,5,0,0,2,0,0,1,0,0
Whitaker Dist 1,455,Auditor General,327,137,41,1,109,9,1,7,0,0,5,1,0,4,0,0,0,0,0
Whitaker Dist 2,347,Auditor General,250,72,48,6,93,12,1,4,0,0,3,2,0,0,0,0,0,0,0
Whitehall Dist 1,568,Auditor General,489,125,97,1,168,58,3,3,3,0,6,0,0,4,0,0,1,0,0
Whitehall Dist 2,595,Auditor General,499,145,83,2,198,32,1,12,2,0,2,0,0,2,0,0,0,0,0
Whitehall Dist 3,758,Auditor General,622,146,101,6,225,93,4,8,3,1,4,3,0,1,0,0,0,0,0
Whitehall Dist 4,662,Auditor General,590,148,115,3,241,44,2,6,3,0,2,1,0,3,0,0,1,0,0
Whitehall Dist 5,741,Auditor General,610,208,129,7,177,47,0,4,2,0,3,1,0,3,0,0,0,0,0
Whitehall Dist 6,1099,Auditor General,564,197,129,29,103,39,9,12,4,1,3,3,0,1,2,1,0,0,0
Whitehall Dist 7,472,Auditor General,384,117,81,2,115,34,4,4,0,0,3,0,0,0,0,0,1,0,0
Whitehall Dist 8,823,Auditor General,724,216,132,2,241,85,4,4,1,1,5,1,1,2,0,0,0,1,0
Whitehall Dist 9,587,Auditor General,504,141,111,6,155,55,1,8,2,0,0,0,0,0,0,0,0,0,0
Whitehall Dist 10,652,Auditor General,553,148,90,4,219,48,2,6,1,0,7,0,0,0,0,1,1,0,0
Whitehall Dist 11,637,Auditor General,557,125,92,3,246,52,1,1,1,0,3,0,0,0,0,1,0,0,0
Whitehall Dist 12,588,Auditor General,503,156,81,3,188,39,5,3,1,1,5,2,0,0,0,0,0,0,0
Whitehall Dist 13,752,Auditor General,681,153,169,2,221,91,1,13,3,0,3,0,0,1,1,0,1,0,0
Whitehall Dist 14,616,Auditor General,530,136,101,5,178,66,1,10,4,0,0,0,0,2,0,0,4,0,0
Whitehall Dist 15,1024,Auditor General,887,189,228,0,303,116,1,11,3,0,4,2,0,0,0,0,1,0,0
Whitehall Dist 16,627,Auditor General,526,139,116,3,178,58,3,5,2,0,1,0,0,1,1,0,0,0,0
White Oak Dist 1,736,Auditor General,568,150,77,4,233,53,1,8,2,0,9,0,0,2,0,0,0,1,0
White Oak Dist 2,830,Auditor General,632,184,90,8,242,55,2,9,2,0,8,2,0,4,0,0,0,0,0
White Oak Dist 3,900,Auditor General,736,187,126,7,295,65,2,11,0,0,8,5,0,0,1,0,0,0,0
White Oak Dist 4,737,Auditor General,617,176,116,2,227,57,0,7,2,0,2,0,0,1,1,0,0,0,0
White Oak Dist 5,821,Auditor General,675,175,111,4,252,62,5,13,5,1,12,3,1,2,0,0,1,0,0
White Oak Dist 6,754,Auditor General,620,118,94,2,292,63,4,4,2,1,6,4,0,2,0,0,1,0,0
White Oak Dist 7,1106,Auditor General,908,206,158,6,390,72,5,13,6,0,8,1,0,2,0,0,1,1,0
Wilkins Ward 1 Dist 1,772,Auditor General,564,226,110,4,156,35,2,6,2,0,0,0,0,2,0,0,2,0,0
Wilkins Ward 1 Dist 2,667,Auditor General,574,196,114,5,166,49,5,10,0,0,2,0,0,2,0,0,1,0,0
Wilkins Ward 1 Dist 3,846,Auditor General,709,269,162,3,171,56,6,10,7,0,2,0,0,2,1,0,1,0,0
Wilkins Ward 1 Dist 4,633,Auditor General,531,215,100,0,151,28,2,9,1,0,3,0,0,4,1,0,0,0,0
Wilkins Ward 1 Dist 5,454,Auditor General,317,140,91,4,47,14,0,7,3,0,0,1,0,0,0,0,0,0,0
Wilkins Ward 2 Dist 1,669,Auditor General,554,218,104,4,155,30,2,9,0,0,5,1,0,2,0,0,0,0,0
Wilkins Ward 2 Dist 2,924,Auditor General,692,260,167,9,158,43,4,8,4,1,6,0,0,1,0,0,2,0,0
Wilkinsburg Ward 1 Dist 1,922,Auditor General,513,281,153,17,22,5,2,2,3,1,3,0,1,3,1,0,0,0,0
Wilkinsburg Ward 1 Dist 2,695,Auditor General,370,239,81,11,7,2,1,5,1,0,3,1,0,0,0,0,1,0,0
Wilkinsburg Ward 1 Dist 3,415,Auditor General,206,125,50,8,6,1,0,1,0,0,1,0,0,1,1,0,0,2,0
Wilkinsburg Ward 1 Dist 4,631,Auditor General,467,238,146,6,30,14,0,10,2,0,5,0,0,1,0,0,2,0,0
Wilkinsburg Ward 1 Dist 5,540,Auditor General,405,183,134,4,46,15,1,6,0,0,0,0,0,1,0,0,1,0,0
Wilkinsburg Ward 1 Dist 6,930,Auditor General,586,247,222,36,23,15,3,6,4,0,1,2,1,6,0,0,0,0,0
Wilkinsburg Ward 2 Dist 1,734,Auditor General,433,205,143,18,29,19,3,4,1,0,2,1,0,1,0,0,0,0,0
Wilkinsburg Ward 2 Dist 2,981,Auditor General,729,336,242,8,77,29,4,7,2,0,3,0,0,1,0,1,0,0,0
Wilkinsburg Ward 2 Dist 3,754,Auditor General,386,226,88,14,14,14,2,3,1,1,2,5,0,0,0,0,1,0,0
Wilkinsburg Ward 2 Dist 4,506,Auditor General,246,140,61,8,14,1,1,6,1,0,2,0,0,2,0,0,0,2,0
Wilkinsburg Ward 2 Dist 5,762,Auditor General,387,204,119,12,10,8,1,6,1,1,0,0,1,2,2,0,0,0,0
Wilkinsburg Ward 3 Dist 1,733,Auditor General,592,325,161,4,49,17,0,10,2,1,4,0,0,1,0,0,1,0,0
Wilkinsburg Ward 3 Dist 2,692,Auditor General,505,279,134,0,35,18,2,7,5,0,0,0,0,5,3,0,0,0,0
Wilkinsburg Ward 3 Dist 3,799,Auditor General,385,227,88,14,14,7,2,6,3,1,1,0,0,2,0,0,2,0,0
Wilkinsburg Ward 3 Dist 4,1061,Auditor General,705,390,205,7,47,21,2,4,0,1,0,1,0,2,0,0,2,0,0
Wilkinsburg Ward 3 Dist 5,1090,Auditor General,656,357,199,13,29,7,4,8,4,0,5,0,1,4,0,0,1,1,0
Wilkinsburg Ward 3 Dist 6,516,Auditor General,269,170,46,12,10,4,0,4,3,0,2,0,0,2,1,0,0,0,0
Wilmerding Dist 1,481,Auditor General,248,113,48,5,55,11,1,1,0,0,2,0,0,0,0,0,1,0,0
Wilmerding Dist 2,695,Auditor General,437,200,79,6,108,15,0,8,5,0,3,1,0,1,1,0,0,0,0
