precinct_id,registered_voters,contest_name,total_votes_cast,Kamala D. Harris - Election Day,Kamala D. Harris - Absentee,Kamala D. Harris - Provisional,Donald J. Trump - Election Day,Donald J. Trump - Absentee,Donald J. Trump - Provisional,Jill Stein - Election Day,Jill Stein - Absentee,Jill Stein - Provisional,Chase Oliver - Election Day,Chase Oliver - Absentee,Chase Oliver - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Baldwin Tp Dist 2,762,Presidential Electors,625,211,115,1,247,39,3,2,0,0,3,0,0,2,0,0
Bell Acres,1188,Presidential Electors,991,286,194,3,389,99,1,4,1,0,3,2,0,7,0,0
Bellevue Ward 1 Dist 1,973,Presidential Electors,717,293,178,11,178,43,1,4,0,0,5,1,0,3,0,0
Bellevue Ward 1 Dist 2,984,Presidential Electors,743,353,169,7,162,34,3,2,1,0,6,0,0,2,3,0
Bellevue Ward 2 Dist 1,1092,Presidential Electors,788,345,164,9,200,47,4,4,2,0,2,0,0,8,1,0
Bellevue Ward 2 Dist 2,989,Presidential Electors,738,312,159,11,197,42,4,1,1,0,2,0,0,6,2,0
Bellevue Ward 3 Dist 1,1048,Presidential Electors,786,354,185,9,182,35,1,3,0,0,3,3,0,3,3,0
Bellevue Ward 3 Dist 2,981,Presidential Electors,761,313,153,14,224,46,2,1,0,0,4,1,0,1,1,0
Ben Avon Dist 1,496,Presidential Electors,428,210,88,0,105,16,0,0,1,0,2,0,0,2,2,0
Ben Avon Dist 2,994,Presidential Electors,841,384,165,6,220,50,1,1,2,0,5,1,0,2,1,0
Ben Avon Ht,341,Presidential Electors,298,116,59,0,90,29,1,0,0,0,0,0,0,1,1,0
Bethel Park Ward 1 Dist 1,869,Presidential Electors,719,161,183,1,292,70,2,3,0,0,2,1,0,1,1,1
Bethel Park Ward 1 Dist 2,801,Presidential Electors,672,204,164,4,237,49,0,1,1,0,4,0,0,3,2,0
Bethel Park Ward 1 Dist 3,840,Presidential Electors,707,196,141,4,270,91,2,0,0,0,2,0,0,1,0,0
Bethel Park Ward 2 Dist 1,748,Presidential Electors,636,174,125,1,268,58,0,2,0,0,5,1,0,1,1,0
Bethel Park Ward 2 Dist 2,939,Presidential Electors,808,214,175,6,297,97,7,2,1,0,6,2,0,1,0,0
Bethel Park Ward 2 Dist 3,1099,Presidential Electors,940,221,214,3,376,113,1,2,1,0,2,3,0,1,0,0
Bethel Park Ward 3 Dist 1,791,Presidential Electors,686,175,125,5,283,89,1,1,0,0,3,1,0,2,1,0
Bethel Park Ward 3 Dist 2,1100,Presidential Electors,961,220,242,7,350,121,3,7,1,0,4,0,0,0,2,0
Bethel Park Ward 3 Dist 3,1055,Presidential Electors,926,226,212,6,351,111,4,1,1,0,7,1,0,2,0,0
Bethel Park Ward 4 Dist 1,1351,Presidential Electors,1170,294,241,5,442,169,5,1,0,0,3,2,0,4,1,0
Bethel Park Ward 4 Dist 2,808,Presidential Electors,687,188,168,5,222,82,5,3,2,0,3,1,1,2,1,0
