precinct_id,registered_voters,contest_name,total_votes_cast,Eugene DePasquale - Election Day,Eugene DePasquale - Absentee,Eugene DePasquale - Provisional,Dave Sunday - Election Day,Dave Sunday - Absentee,Dave Sunday - Provisional,Robert Cowburn - Election Day,Robert Cowburn - Absentee,Robert Cowburn - Provisional,Richard L. Weiss - Election Day,Richard L. Weiss - Absentee,Richard L. Weiss - Provisional,Justin L. Magill - Election Day,Justin L. Magill - Absentee,Justin L. Magill - Provisional,Eric L. Settle - Election Day,Eric L. Settle - Absentee,Eric L. Settle - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Munhall Dist 9,724,Attorney General,545,208,104,2,157,42,3,5,2,0,3,0,0,3,1,0,2,0,0,1,0,0
Munhall Dist 10,514,Attorney General,404,153,79,5,128,15,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Munhall Dist 11,953,Attorney General,820,302,150,6,260,57,3,7,3,0,8,2,1,3,1,0,2,0,0,0,0,0
Munhall Dist 12,554,Attorney General,481,157,68,2,185,31,1,9,1,0,2,1,0,3,0,0,0,0,0,1,0,0
Neville Ward 1,263,Attorney General,192,65,20,0,81,9,0,2,3,0,1,0,0,0,1,0,0,2,0,1,0,0
Neville Ward 2,210,Attorney General,137,50,16,0,51,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neville Ward 3,261,Attorney General,218,79,38,4,71,12,0,3,1,0,2,1,0,1,0,0,0,0,0,0,0,0
N Braddock Ward 1 Dist 1,232,Attorney General,191,59,62,2,34,21,1,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0
N Braddock Ward 1 Dist 2,479,Attorney General,338,163,47,4,74,31,2,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0
N Braddock Ward 1 Dist 3,471,Attorney General,283,148,48,6,51,9,0,3,0,0,4,1,0,1,0,0,3,0,0,1,0,0
N Braddock Ward 2 Dist 1,444,Attorney General,235,134,33,4,29,7,0,1,0,0,6,0,0,3,0,1,1,0,0,1,0,0
N Braddock Ward 2 Dist 2,548,Attorney General,348,167,87,7,58,14,0,5,0,0,1,1,0,0,0,0,2,0,0,0,0,0
N Braddock Ward 3 Dist 1,419,Attorney General,218,138,46,6,6,3,1,1,0,0,4,1,1,3,0,0,0,0,0,0,0,0
N Braddock Ward 3 Dist 2,471,Attorney General,233,150,42,11,15,5,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1
N Fayette Dist 1,2253,Attorney General,1885,326,402,5,798,275,7,12,5,2,3,1,0,7,1,0,0,0,0,0,0,0
N Fayette Dist 2,2567,Attorney General,1916,453,425,23,665,236,21,13,4,1,9,8,0,4,0,0,1,1,0,1,0,0
N Fayette Dist 3,2448,Attorney General,1914,431,421,13,691,254,17,20,5,1,7,5,1,2,1,0,1,0,0,0,1,0
N Fayette Dist 4,1242,Attorney General,892,150,182,15,392,84,16,10,2,2,10,2,0,4,0,0,0,3,0,0,0,0
N Fayette Dist 5,3294,Attorney General,2656,534,569,13,1047,353,12,19,10,0,11,3,0,5,2,0,5,3,0,3,0,0
N Versailles Ward 1 Dist 1,677,Attorney General,512,161,85,4,180,40,4,5,4,0,7,0,0,2,1,0,0,0,0,0,0,0
N Versailles Ward 1 Dist 2,646,Attorney General,525,189,74,0,211,24,3,1,1,1,5,1,0,1,0,0,1,0,0,0,0,0
N Versailles Ward 2 Dist 1,668,Attorney General,500,178,76,5,175,27,4,10,2,0,5,1,0,0,0,0,0,0,0,1,1,0
N Versailles Ward 2 Dist 2,206,Attorney General,148,50,42,1,37,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
N Versailles Ward 3 Dist 1,518,Attorney General,414,114,86,1,143,34,0,6,2,0,4,0,0,2,0,0,0,0,0,0,0,0
N Versailles Ward 3 Dist 2,617,Attorney General,460,116,115,9,152,39,2,3,0,0,1,0,0,2,0,0,0,0,0,0,1,0
N Versailles Ward 4 Dist 1,511,Attorney General,375,129,54,5,134,24,1,8,0,0,3,0,0,3,0,0,0,0,0,0,0,0
N Versailles Ward 4 Dist 2,418,Attorney General,321,103,37,1,118,36,1,2,0,0,3,0,0,7,2,0,4,0,0,0,0,0
N Versailles Ward 5 Dist 1,520,Attorney General,309,116,55,2,94,14,1,2,3,0,3,0,0,1,0,0,1,0,0,0,0,0
N Versailles Ward 5 Dist 2,370,Attorney General,213,70,44,2,66,13,3,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0
N Versailles Ward 6 Dist 1,647,Attorney General,529,126,93,3,236,38,1,3,2,0,8,4,0,2,0,0,0,1,0,0,0,0
N Versailles Ward 6 Dist 2,549,Attorney General,457,120,86,3,176,41,2,6,1,0,1,1,0,3,0,0,1,1,0,0,0,0
N Versailles Ward 7,623,Attorney General,418,219,88,7,65,19,0,4,0,1,6,1,0,2,0,0,1,0,0,0,0,0
Oakdale Dist 1,615,Attorney General,506,180,65,1,218,25,2,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0
Oakdale Dist 2,447,Attorney General,377,82,75,0,168,32,1,7,2,0,1,1,0,1,0,0,2,0,0,0,0,0
Oakmont Dist 1,869,Attorney General,749,276,153,3,215,69,3,6,2,0,5,3,0,0,0,0,0,0,0,0,0,0
Oakmont Dist 2,1079,Attorney General,899,252,227,3,264,108,2,3,3,0,1,0,0,1,1,0,0,4,0,0,0,0
Oakmont Dist 3,763,Attorney General,616,237,95,7,195,36,6,9,0,1,5,3,2,3,1,0,1,0,0,2,0,0
Oakmont Dist 4,874,Attorney General,736,272,126,3,215,64,1,15,2,1,3,3,0,2,1,0,1,0,0,0,0,0
Oakmont Dist 5,666,Attorney General,548,220,97,2,179,22,2,5,1,0,3,0,0,1,1,0,2,1,0,0,1,0
Oakmont Dist 6,1312,Attorney General,1092,301,277,3,316,135,3,10,4,0,6,0,0,4,1,0,2,1,0,0,0,0
O'Hara Ward 1 Dist 1,861,Attorney General,647,170,203,6,157,75,3,8,1,0,1,3,0,0,0,0,1,1,0,0,0,0
O'Hara Ward 1 Dist 2,651,Attorney General,540,187,115,3,151,46,3,6,0,0,7,1,0,4,0,1,0,0,0,1,0,0
O'Hara Ward 2 Dist 1,630,Attorney General,544,220,126,0,137,37,1,5,1,0,0,3,0,2,0,0,0,0,0,1,0,0
O'Hara Ward 2 Dist 2,940,Attorney General,784,240,201,0,211,92,0,6,1,0,4,7,0,0,0,0,1,2,0,2,1,0
O'Hara Ward 3 Dist 1,868,Attorney General,745,271,168,3,187,73,1,5,0,1,7,3,0,1,0,0,0,0,0,0,0,0
O'Hara Ward 3 Dist 2,553,Attorney General,466,149,72,0,186,37,0,3,2,0,5,1,0,1,1,0,0,0,0,0,0,0
O'Hara Ward 4 Dist 1,844,Attorney General,682,214,214,4,149,61,3,5,0,0,5,2,0,2,0,0,1,1,0,1,0,0
O'Hara Ward 4 Dist 2,620,Attorney General,543,206,176,3,100,40,0,2,2,0,3,0,0,2,0,0,0,0,0,0,0,0
O'Hara Ward 5 Dist 1,772,Attorney General,670,187,189,5,187,66,3,3,1,0,2,4,0,1,0,0,3,1,0,0,0,0
O'Hara Ward 5 Dist 2,919,Attorney General,780,266,226,3,165,63,1,8,2,0,4,4,1,1,1,0,1,2,0,0,0,0
Ohio Dist 1,1704,Attorney General,1466,353,334,7,542,165,7,10,6,0,4,1,0,2,0,0,2,0,0,3,0,0
Ohio Dist 2,1840,Attorney General,1619,360,419,4,543,235,2,8,3,0,1,2,1,6,1,0,0,1,0,0,0,0
Ohio Dist 3,2162,Attorney General,1789,527,419,5,551,209,5,14,4,0,12,2,0,3,1,0,3,1,0,1,0,0
Glen Osborne,478,Attorney General,399,148,72,0,126,34,0,1,1,0,2,2,0,0,0,0,2,0,0,0,0,0
Penn Hills Ward 1 Dist 1,707,Attorney General,479,241,175,7,24,6,1,3,2,0,6,1,1,2,1,0,0,1,1,0,1,0
Penn Hills Ward 1 Dist 2,736,Attorney General,524,275,174,11,28,14,0,1,0,0,5,2,0,0,0,0,0,1,0,0,0,0
Penn Hills Ward 1 Dist 3,479,Attorney General,301,170,92,10,12,4,0,1,1,0,3,0,0,1,0,0,0,1,0,0,0,0
Penn Hills Ward 1 Dist 4,338,Attorney General,203,106,65,4,12,2,0,0,1,0,5,2,0,0,0,1,0,0,0,0,0,0
Penn Hills Ward 1 Dist 5,192,Attorney General,118,72,37,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penn Hills Ward 2 Dist 1,695,Attorney General,473,226,155,4,31,18,0,8,1,1,6,5,0,1,1,0,1,1,1,1,1,0
Penn Hills Ward 2 Dist 2,768,Attorney General,484,267,133,7,33,13,2,2,0,0,5,1,0,0,0,0,3,0,0,1,1,0
Penn Hills Ward 2 Dist 3,898,Attorney General,628,343,165,8,64,18,1,4,0,1,2,2,0,1,0,0,3,0,0,0,0,1
Penn Hills Ward 2 Dist 4,591,Attorney General,479,226,160,2,50,12,0,5,0,0,5,2,1,1,1,0,1,2,0,1,0,0
Penn Hills Ward 3 Dist 1,768,Attorney General,601,212,168,7,115,58,2,10,0,0,4,2,0,0,0,0,3,4,0,2,1,0
Penn Hills Ward 3 Dist 2,499,Attorney General,392,204,93,5,46,23,0,1,1,1,3,3,0,1,1,0,3,0,0,1,1,0
Penn Hills Ward 3 Dist 3,634,Attorney General,470,189,172,5,50,22,0,3,3,0,6,4,0,1,1,0,1,0,0,0,0,0
Penn Hills Ward 3 Dist 4,824,Attorney General,589,248,194,4,78,34,0,5,6,0,4,2,1,0,1,0,1,0,0,0,1,0
Penn Hills Ward 3 Dist 5,448,Attorney General,299,151,63,6,35,19,3,4,0,0,2,0,0,2,1,0,0,0,0,0,0,1
Penn Hills Ward 3 Dist 6,470,Attorney General,328,146,66,3,69,20,0,5,1,0,3,0,0,1,1,0,1,0,0,0,0,0
Penn Hills Ward 4 Dist 1,565,Attorney General,438,200,121,1,62,27,1,6,0,0,6,1,0,1,2,0,1,0,0,0,0,0
Penn Hills Ward 4 Dist 2,721,Attorney General,545,241,141,5,85,30,1,9,1,0,13,1,0,2,0,0,1,0,0,0,0,0
Penn Hills Ward 4 Dist 3,751,Attorney General,571,227,155,6,114,38,4,5,0,0,10,0,2,0,0,0,0,0,0,1,0,0
Penn Hills Ward 4 Dist 4,638,Attorney General,479,205,137,13,78,26,2,3,1,0,0,2,1,0,0,0,2,2,0,0,0,0
Penn Hills Ward 4 Dist 5,640,Attorney General,474,211,132,10,79,23,2,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0
Penn Hills Ward 5 Dist 1,703,Attorney General,502,226,122,15,88,32,2,5,0,0,4,0,0,0,0,0,2,0,0,0,0,0
Penn Hills Ward 5 Dist 2,614,Attorney General,426,193,98,6,77,26,2,2,2,0,4,0,0,2,0,0,0,0,0,0,0,0
Penn Hills Ward 5 Dist 3,684,Attorney General,539,215,137,14,121,25,0,4,0,1,7,0,0,1,1,0,0,1,0,0,0,0
Penn Hills Ward 5 Dist 4,613,Attorney General,501,171,141,6,102,48,3,7,1,0,1,1,0,3,1,0,1,0,0,1,0,0
Penn Hills Ward 5 Dist 5,542,Attorney General,436,191,113,4,85,20,2,4,1,0,2,2,0,2,0,0,0,0,0,0,0,0
Penn Hills Ward 5 Dist 6,739,Attorney General,562,214,139,12,118,45,2,10,1,0,4,2,0,3,0,0,0,0,0,0,0,0
Penn Hills Ward 6 Dist 1,562,Attorney General,413,169,77,7,112,27,0,4,2,0,5,0,0,2,0,0,1,0,0,0,0,0
Penn Hills Ward 6 Dist 2,670,Attorney General,500,258,105,4,75,26,2,5,1,0,3,4,0,4,1,0,2,0,0,1,1,0
Penn Hills Ward 6 Dist 3,521,Attorney General,405,197,95,2,69,24,0,1,0,0,4,3,0,0,0,0,1,0,0,0,0,0
Penn Hills Ward 6 Dist 4,579,Attorney General,380,207,97,1,35,13,0,7,0,0,2,1,1,2,1,0,1,2,0,1,0,0
Penn Hills Ward 6 Dist 5,608,Attorney General,442,211,122,9,49,25,0,3,2,0,7,1,0,1,0,0,2,0,0,1,0,0
Penn Hills Ward 6 Dist 6,549,Attorney General,420,180,101,3,77,32,1,3,2,0,3,1,0,1,0,0,2,0,0,2,0,0
Penn Hills Ward 7 Dist 1,648,Attorney General,496,257,138,3,64,9,0,6,2,0,4,0,0,1,0,0,1,1,0,0,0,0
Penn Hills Ward 7 Dist 2,683,Attorney General,486,132,128,7,123,51,4,5,2,0,6,3,0,4,0,0,1,0,0,0,0,0
Penn Hills Ward 7 Dist 3,896,Attorney General,674,277,170,8,128,52,1,4,2,0,5,6,0,1,0,0,2,1,0,1,0,0
Penn Hills Ward 7 Dist 4,609,Attorney General,480,147,130,4,135,29,0,3,0,0,7,2,0,4,1,0,0,0,0,1,1,0
Penn Hills Ward 7 Dist 5,741,Attorney General,584,242,125,3,113,45,1,8,4,0,11,3,0,4,2,0,2,0,0,2,0,0
Penn Hills Ward 7 Dist 6,715,Attorney General,533,244,123,8,103,21,0,8,0,0,6,2,0,2,0,1,0,0,0,0,0,0
Penn Hills Ward 7 Dist 7,722,Attorney General,517,146,124,9,161,40,5,1,3,0,5,3,1,1,3,0,1,0,0,0,0,0
Penn Hills Ward 8 Dist 1,637,Attorney General,519,163,133,7,132,60,0,3,0,0,2,1,0,4,1,0,0,0,0,0,0,0
Penn Hills Ward 8 Dist 2,579,Attorney General,483,187,78,4,154,25,3,6,3,1,3,0,0,1,0,0,1,1,0,0,0,0
Penn Hills Ward 8 Dist 3,546,Attorney General,452,159,84,3,135,45,0,3,0,1,3,3,0,3,1,0,1,0,0,0,0,0
Penn Hills Ward 8 Dist 4,613,Attorney General,515,147,135,3,149,42,4,8,3,0,4,1,0,0,0,0,0,1,0,1,0,0
Penn Hills Ward 8 Dist 5,953,Attorney General,751,218,202,10,187,78,6,9,4,1,8,1,0,1,0,0,5,0,0,1,0,0
Penn Hills Ward 8 Dist 6,484,Attorney General,401,123,94,1,117,43,1,3,1,0,2,4,0,0,0,0,3,1,0,0,0,0
Penn Hills Ward 9 Dist 1,519,Attorney General,453,170,90,4,131,33,1,1,0,1,2,1,0,2,1,0,1,0,0,0,0,0
Penn Hills Ward 9 Dist 2,593,Attorney General,476,144,112,4,145,26,2,10,1,1,0,6,0,1,1,0,4,0,0,1,0,0
Penn Hills Ward 9 Dist 3,929,Attorney General,751,260,174,8,197,44,6,12,0,0,11,2,0,7,2,0,0,1,0,0,0,0
Penn Hills Ward 9 Dist 4,627,Attorney General,520,186,112,3,153,39,1,6,0,0,4,0,0,3,0,0,1,2,0,0,0,0
Penn Hills Ward 9 Dist 5,311,Attorney General,203,91,64,8,18,4,0,6,1,0,0,1,0,3,0,0,0,0,0,1,1,0
Pine Dist 1,1568,Attorney General,1299,235,319,8,419,245,7,6,5,2,5,3,0,1,0,0,0,1,0,0,0,0
Pine Dist 2,1419,Attorney General,1199,196,314,4,400,233,5,5,1,0,4,3,0,0,0,0,1,0,0,0,0,0
Pine Dist 3,1406,Attorney General,1212,206,249,3,437,254,7,14,4,0,3,2,0,2,0,0,1,1,0,0,0,0
Pine Dist 4,1518,Attorney General,1289,313,268,2,428,218,1,12,1,0,4,8,0,4,1,1,1,1,0,1,2,0
Pine Dist 5,2030,Attorney General,1594,343,337,8,536,288,4,16,3,0,12,3,0,1,0,0,0,0,0,0,0,0
Pine Dist 6,1075,Attorney General,934,216,193,8,342,142,1,9,2,0,4,0,0,1,1,0,0,0,0,0,0,0
Pine Dist 7,1564,Attorney General,1298,328,298,5,429,173,4,7,5,0,4,4,0,5,1,0,0,2,0,0,0,0
Pine Dist 8,1109,Attorney General,930,168,188,2,350,190,1,7,2,0,2,1,0,2,1,0,1,2,0,0,0,0
Pitcairn Dist 1,869,Attorney General,566,238,81,5,156,37,3,8,1,0,4,0,0,8,1,0,1,1,0,2,0,0
Pitcairn Dist 2,450,Attorney General,238,104,26,4,71,11,0,2,1,0,3,0,0,7,1,0,2,0,0,0,0,0
Pitcairn Dist 3,629,Attorney General,484,163,59,0,180,35,0,7,0,0,2,0,0,8,2,0,3,0,0,0,0,0
Pittsburgh Ward 1 Dist 1,3874,Attorney General,1407,630,328,31,196,76,11,9,6,3,31,4,2,5,1,1,3,0,2,1,0,0
Pittsburgh Ward 1 Dist 2,572,Attorney General,332,159,98,6,28,9,1,6,1,0,7,0,0,3,0,0,1,0,0,1,1,0
Pittsburgh Ward 2 Dist 1,2738,Attorney General,1602,568,549,30,223,120,8,21,6,0,10,3,2,2,2,0,3,3,0,1,0,0
Pittsburgh Ward 2 Dist 2,2221,Attorney General,1512,474,479,20,306,153,8,10,3,3,5,8,0,0,0,0,1,1,0,1,0,0
Pittsburgh Ward 3 Dist 1,237,Attorney General,148,82,37,2,2,8,0,1,0,0,1,0,0,1,0,0,3,1,0,2,0,0
Pittsburgh Ward 3 Dist 2,607,Attorney General,401,224,114,5,17,4,0,4,0,0,5,5,1,1,1,0,0,0,0,0,0,0
Pittsburgh Ward 3 Dist 3,358,Attorney General,223,120,79,2,3,3,1,2,0,0,2,1,0,1,1,0,1,0,0,0,0,0
Pittsburgh Ward 3 Dist 4,571,Attorney General,300,149,79,9,20,15,0,3,1,0,5,4,0,0,0,0,1,0,0,0,0,0
Pittsburgh Ward 3 Dist 5,569,Attorney General,295,167,76,12,12,8,1,2,0,0,3,1,0,1,0,0,1,0,0,1,0,0
Pittsburgh Ward 4 Dist 1,217,Attorney General,86,43,14,10,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
Pittsburgh Ward 4 Dist 2,787,Attorney General,424,206,105,11,49,9,4,8,0,0,5,8,2,0,0,0,3,0,0,1,0,0
Pittsburgh Ward 4 Dist 3,318,Attorney General,185,93,48,9,13,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
Pittsburgh Ward 4 Dist 4,230,Attorney General,123,84,24,0,9,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Pittsburgh Ward 4 Dist 5,1179,Attorney General,633,359,99,21,88,4,7,2,1,0,10,2,0,2,0,0,0,0,0,1,0,0
Pittsburgh Ward 4 Dist 6,698,Attorney General,324,170,68,2,43,9,1,5,1,0,3,3,0,1,0,0,0,0,0,0,0,0
Pittsburgh Ward 4 Dist 7,2252,Attorney General,1042,568,225,16,101,42,3,4,3,1,17,5,0,2,0,0,2,0,0,1,0,0
Pittsburgh Ward 4 Dist 8,2646,Attorney General,1185,733,144,43,153,14,5,10,1,0,17,4,0,2,0,0,0,0,0,2,0,0
Pittsburgh Ward 4 Dist 9,997,Attorney General,545,243,172,15,48,22,5,1,0,0,4,2,0,1,2,0,1,0,0,0,0,0
Pittsburgh Ward 4 Dist 10,620,Attorney General,306,171,79,0,17,12,1,2,0,0,7,3,0,0,0,0,2,1,0,0,0,0
Pittsburgh Ward 4 Dist 11,628,Attorney General,466,177,191,4,40,36,0,2,0,0,1,3,0,0,0,0,1,0,0,0,0,0
Pittsburgh Ward 4 Dist 12,717,Attorney General,412,175,159,2,43,7,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0
Pittsburgh Ward 4 Dist 13,810,Attorney General,463,276,101,8,41,1,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0
Pittsburgh Ward 4 Dist 14,1632,Attorney General,849,532,151,7,92,8,1,10,3,0,9,3,0,1,0,0,0,0,0,3,0,0
Pittsburgh Ward 4 Dist 15,1106,Attorney General,597,339,114,7,76,10,5,3,1,1,14,1,2,0,1,0,1,0,0,1,1,0
Pittsburgh Ward 4 Dist 16,1649,Attorney General,875,526,163,17,95,13,2,11,1,0,7,3,1,1,0,0,0,0,0,1,0,0
Pittsburgh Ward 4 Dist 17,736,Attorney General,459,260,104,6,46,8,2,5,2,0,11,1,0,0,0,0,1,0,1,0,0,0
Pittsburgh Ward 4 Dist 18,805,Attorney General,425,226,86,16,43,8,8,4,0,1,6,1,0,1,0,0,4,1,0,1,1,0
Pittsburgh Ward 4 Dist 19,351,Attorney General,174,102,36,1,19,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Pittsburgh Ward 5 Dist 1,293,Attorney General,155,112,23,2,4,2,0,5,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Pittsburgh Ward 5 Dist 2,364,Attorney General,198,125,44,8,5,1,1,3,0,1,2,0,0,0,0,0,1,1,0,1,0,0
Pittsburgh Ward 5 Dist 3,133,Attorney General,98,62,26,1,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Pittsburgh Ward 5 Dist 4,278,Attorney General,147,87,41,3,7,0,0,0,0,2,3,0,0,0,1,0,1,0,0,0,0,0
Pittsburgh Ward 5 Dist 5,176,Attorney General,104,68,23,3,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Pittsburgh Ward 5 Dist 6,583,Attorney General,220,124,38,16,12,1,1,1,1,0,5,2,0,1,0,0,2,1,0,0,0,0
Pittsburgh Ward 5 Dist 7,372,Attorney General,236,154,59,4,3,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Pittsburgh Ward 5 Dist 8,423,Attorney General,287,153,88,3,17,8,1,4,0,0,2,3,0,1,0,0,1,0,0,1,0,0
Pittsburgh Ward 5 Dist 9,1150,Attorney General,641,293,192,11,53,26,3,10,2,0,7,6,0,1,1,0,4,0,0,1,0,0
Pittsburgh Ward 5 Dist 10,457,Attorney General,286,186,58,10,11,2,0,2,0,1,3,1,0,1,0,0,1,0,0,1,0,0
Pittsburgh Ward 5 Dist 11,624,Attorney General,425,237,91,14,38,8,3,4,0,0,6,2,0,1,0,0,1,1,0,1,0,0
Pittsburgh Ward 5 Dist 12,333,Attorney General,193,123,44,5,2,2,1,2,0,0,4,5,0,0,0,0,0,0,0,1,0,0
Pittsburgh Ward 5 Dist 13,270,Attorney General,152,97,30,5,3,1,0,4,0,0,1,1,0,1,0,1,2,0,0,0,0,0
Pittsburgh Ward 5 Dist 14,233,Attorney General,129,72,44,2,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Pittsburgh Ward 5 Dist 15,279,Attorney General,153,107,22,3,4,7,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Pittsburgh Ward 5 Dist 16,197,Attorney General,101,72,16,5,0,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0
Pittsburgh Ward 5 Dist 17,304,Attorney General,188,108,46,6,9,4,1,2,0,0,2,1,0,0,1,0,2,0,0,0,0,0
Pittsburgh Ward 5 Dist 18,74,Attorney General,40,22,13,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Pittsburgh Ward 6 Dist 1,1742,Attorney General,1309,548,385,13,193,73,3,20,0,0,10,7,0,1,1,0,6,4,0,0,1,0
Pittsburgh Ward 6 Dist 2,594,Attorney General,415,190,123,2,62,13,2,3,2,0,4,0,0,0,0,0,1,0,0,0,0,0
Pittsburgh Ward 6 Dist 3,764,Attorney General,536,293,133,3,57,14,4,7,0,0,8,4,0,0,0,0,3,0,0,0,0,0
Pittsburgh Ward 6 Dist 4,546,Attorney General,414,203,92,0,51,26,0,1,1,0,16,7,0,1,1,0,1,0,0,0,0,0
Pittsburgh Ward 6 Dist 5,503,Attorney General,359,195,92,5,31,13,1,4,0,0,7,1,2,1,0,0,0,0,0,0,0,0
Pittsburgh Ward 7 Dist 1,904,Attorney General,583,299,118,7,70,22,4,3,0,0,9,0,0,2,0,0,0,0,0,2,0,0
Pittsburgh Ward 7 Dist 2,1143,Attorney General,797,321,238,6,133,51,1,1,1,0,4,1,0,0,0,0,1,0,0,1,0,0
Pittsburgh Ward 7 Dist 3,786,Attorney General,468,214,172,3,35,11,0,4,1,0,5,1,0,0,0,0,1,1,0,1,0,0
Pittsburgh Ward 7 Dist 4,1095,Attorney General,653,311,187,13,66,18,1,4,0,0,10,5,0,0,0,0,4,1,0,0,0,0
Pittsburgh Ward 7 Dist 5,864,Attorney General,481,237,124,6,47,13,1,6,0,0,7,4,0,0,0,0,0,2,0,0,0,0
Pittsburgh Ward 7 Dist 6,773,Attorney General,498,250,150,2,45,16,3,2,0,0,8,2,0,0,0,0,2,0,0,0,1,0
Pittsburgh Ward 7 Dist 7,839,Attorney General,501,229,153,10,54,20,3,4,1,1,4,2,0,0,0,0,0,1,0,0,0,0
Pittsburgh Ward 7 Dist 8,832,Attorney General,499,255,126,8,58,18,2,3,0,0,5,4,0,0,1,0,3,2,0,0,0,0
Pittsburgh Ward 7 Dist 9,837,Attorney General,549,280,173,4,52,9,0,4,3,1,3,0,0,0,0,0,1,1,0,0,0,0
Pittsburgh Ward 7 Dist 10,1121,Attorney General,731,340,229,7,71,37,1,5,3,0,2,3,0,1,0,0,1,1,0,1,1,0
Pittsburgh Ward 7 Dist 11,1259,Attorney General,776,364,262,2,76,27,0,9,1,0,4,4,0,0,1,0,0,1,0,0,0,0
Pittsburgh Ward 7 Dist 12,1230,Attorney General,779,323,271,10,74,38,0,6,1,0,3,3,0,0,0,0,3,3,0,0,1,0
Pittsburgh Ward 7 Dist 13,616,Attorney General,344,179,90,3,28,11,0,3,1,0,2,2,0,1,0,0,1,1,0,0,0,0
Pittsburgh Ward 7 Dist 14,521,Attorney General,350,154,99,1,48,18,2,5,0,0,8,1,1,0,1,0,0,1,0,2,0,0
Pittsburgh Ward 8 Dist 1,380,Attorney General,274,137,61,3,45,11,0,4,1,0,3,0,0,1,1,0,0,0,0,0,0,0
Pittsburgh Ward 8 Dist 2,634,Attorney General,483,249,111,6,73,19,1,2,1,0,9,1,0,1,0,0,1,0,0,2,0,0
Pittsburgh Ward 8 Dist 3,858,Attorney General,560,287,134,4,83,15,2,5,1,0,9,3,0,1,0,0,2,1,0,1,1,0
Pittsburgh Ward 8 Dist 4,831,Attorney General,534,237,151,6,71,18,1,6,1,0,6,8,0,1,0,0,2,1,0,0,0,0
Pittsburgh Ward 8 Dist 5,610,Attorney General,457,242,115,4,58,11,1,3,0,1,6,3,0,0,0,0,2,0,0,0,0,0
Pittsburgh Ward 8 Dist 6,435,Attorney General,311,156,84,3,43,10,1,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0
Pittsburgh Ward 8 Dist 7,817,Attorney General,531,297,138,9,31,18,0,2,1,0,8,5,0,1,0,0,1,0,0,1,0,0
Pittsburgh Ward 8 Dist 8,638,Attorney General,454,214,155,3,39,10,0,4,1,0,8,4,0,0,0,0,1,1,0,0,1,0
Pittsburgh Ward 8 Dist 9,878,Attorney General,517,273,141,9,36,10,0,4,1,0,15,2,0,3,0,0,2,1,1,0,1,0
Pittsburgh Ward 8 Dist 10,694,Attorney General,475,273,129,4,34,8,0,3,2,0,8,5,0,0,0,0,1,1,0,1,0,0
Pittsburgh Ward 8 Dist 11,737,Attorney General,454,233,113,10,50,13,1,4,2,0,5,3,0,1,1,0,2,0,0,0,0,0
Pittsburgh Ward 8 Dist 12,629,Attorney General,437,260,99,8,21,13,0,0,0,0,12,3,1,2,1,0,1,0,0,0,0,0
Pittsburgh Ward 8 Dist 13,540,Attorney General,297,179,78,6,14,5,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0
Pittsburgh Ward 9 Dist 1,651,Attorney General,452,207,119,7,66,23,1,4,0,1,6,2,0,1,0,0,0,0,0,0,0,0
Pittsburgh Ward 9 Dist 2,658,Attorney General,494,231,127,5,71,27,2,5,4,0,5,1,0,1,0,0,1,0,0,2,0,0
Pittsburgh Ward 9 Dist 3,699,Attorney General,503,242,147,4,62,15,3,5,1,0,5,2,1,1,0,0,2,1,0,0,1,0
Pittsburgh Ward 9 Dist 4,634,Attorney General,451,215,124,4,62,17,1,4,6,0,4,2,0,2,0,0,1,0,0,0,1,0
Pittsburgh Ward 9 Dist 5,653,Attorney General,479,206,138,3,67,22,2,7,1,0,7,2,0,0,0,0,0,1,0,0,0,0
