precinct_id,registered_voters,contest_name,total_votes_cast,Eugene DePasquale - Election Day,Eugene DePasquale - Absentee,Eugene DePasquale - Provisional,Dave Sunday - Election Day,Dave Sunday - Absentee,Dave Sunday - Provisional,Robert Cowburn - Election Day,Robert Cowburn - Absentee,Robert Cowburn - Provisional,Richard L. Weiss - Election Day,Richard L. Weiss - Absentee,Richard L. Weiss - Provisional,Justin L. Magill - Election Day,Justin L. Magill - Absentee,Justin L. Magill - Provisional,Eric L. Settle - Election Day,Eric L. Settle - Absentee,Eric L. Settle - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
McKeesport Ward 4,317,Attorney General,113,64,21,2,8,2,1,1,2,0,2,1,0,0,1,0,0,0,0,0,0,1
McKeesport Ward 5,480,Attorney General,204,104,35,4,26,8,2,1,1,1,3,0,0,3,1,0,0,1,0,0,0,0
McKeesport Ward 6 Dist 1,327,Attorney General,151,62,33,7,23,4,0,4,0,0,4,0,0,3,0,0,1,0,0,0,0,0
McKeesport Ward 6 Dist 2,287,Attorney General,144,75,22,4,21,3,0,2,0,0,2,1,0,2,1,0,1,0,0,0,0,0
McKeesport Ward 7 Dist 1,462,Attorney General,264,145,56,4,20,14,0,5,0,0,1,0,0,2,0,0,1,0,0,2,0,0
McKeesport Ward 7 Dist 2,270,Attorney General,156,94,30,4,6,2,2,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0
McKeesport Ward 7 Dist 3,311,Attorney General,173,96,19,4,26,5,1,1,0,0,6,0,0,5,0,0,1,0,0,0,1,0
McKeesport Ward 7 Dist 4,403,Attorney General,204,103,28,10,32,10,0,4,0,0,1,2,0,2,1,0,0,0,0,0,0,0
McKeesport Ward 7 Dist 5,535,Attorney General,305,141,47,9,54,16,1,6,0,1,4,1,0,4,1,1,0,1,0,2,0,0
McKeesport Ward 7 Dist 6,425,Attorney General,242,135,32,6,40,6,0,2,0,0,5,0,1,1,0,0,0,0,0,0,0,0
McKeesport Ward 7 Dist 7,327,Attorney General,181,102,42,12,13,2,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0
McKeesport Ward 8 Dist 1,267,Attorney General,172,49,23,4,64,5,3,3,0,0,3,0,0,3,0,0,2,0,0,0,0,0
McKeesport Ward 8 Dist 2,531,Attorney General,350,131,84,2,81,16,3,9,1,0,3,0,0,0,0,0,1,1,0,0,0,0
McKeesport Ward 8 Dist 3,498,Attorney General,285,138,46,13,45,7,0,4,0,0,3,1,0,0,1,1,1,0,0,0,0,0
McKeesport Ward 8 Dist 4,462,Attorney General,324,112,55,5,93,32,4,5,0,0,4,1,0,2,0,0,0,0,0,0,0,0
McKeesport Ward 8 Dist 5,511,Attorney General,186,102,35,8,16,1,0,5,2,0,6,0,1,0,0,0,1,1,0,0,0,0
McKeesport Ward 8 Dist 6,202,Attorney General,135,45,20,2,43,9,0,1,2,0,3,0,0,0,0,0,1,0,0,0,0,0
McKeesport Ward 9 Dist 1,475,Attorney General,312,117,48,5,92,18,2,1,0,0,7,1,0,1,1,0,1,1,0,0,0,0
McKeesport Ward 9 Dist 2,572,Attorney General,372,185,41,10,99,11,3,3,0,0,4,0,0,4,2,1,1,0,0,0,0,0
McKeesport Ward 9 Dist 3,387,Attorney General,254,100,53,7,54,21,0,4,2,0,4,0,0,1,0,0,1,0,0,1,0,0
McKeesport Ward 10 Dist 1,277,Attorney General,149,60,16,4,46,4,0,1,0,0,6,1,0,0,0,0,1,0,0,0,0,0
McKeesport Ward 10 Dist 2,312,Attorney General,206,61,34,2,75,17,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0
McKeesport Ward 11 Dist 1,428,Attorney General,288,112,37,4,91,17,2,1,1,0,5,0,0,1,1,0,0,0,0,0,0,0
McKeesport Ward 11 Dist 2,377,Attorney General,267,88,33,5,96,20,0,2,0,0,3,1,0,3,1,0,0,0,0,0,0,0
McKeesport Ward 11 Dist 3,264,Attorney General,184,68,52,0,34,14,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
McKeesport Ward 12 Dist 1,334,Attorney General,238,61,43,4,93,18,0,2,0,0,5,0,0,2,0,0,0,0,0,0,0,0
McKeesport Ward 12 Dist 2,370,Attorney General,282,98,38,0,101,25,0,2,1,0,2,0,0,1,0,0,2,0,0,1,0,0
McKeesport Ward 12 Dist 3,556,Attorney General,475,145,95,1,167,30,1,4,0,0,1,1,0,2,1,0,1,2,0,1,0,0
